Name,count
Doofenshmirtz (current),1
Doofenshmirtz (original),1
Doofenshmirtz's father,1
Alber,1
Irving's mom,1
Baljeet's Mom,1
Evil Scientist #3,1
Evil Scientist #2,1
Evil Scientist #1,1
Robot Guy,1
Joe #2,1
Bad Future Carl,1
Joe #6,1
Alternate Timeline  Future Candace,1
Both Future Candaces,1
Single Future Candace,1
"Future Candace, Linda and Amanda",1
Past Ferb,1
Doofenshmitz,1
Singers,1
Major Monogram/Carl,1
Isabella and the Fireside Girls,1
Everybody else,1
"Fireside Girls, Isabella and Buford",1
Cowboy singer,1
Person 1,1
Person 4,1
Person 5,1
Milly and Katie,1
Tarzan look alike,1
Chorus,1
Rooster,1
Creepy man,1
Katie and Ginger,1
Stac,1
Man from Charitable Charities,1
Suspect 1,1
Suspect 2,1
Suspect 3,1
Jenny and Stacy,1
Phineas and the Gang (minus Buford),1
Steve 1,1
Space Adventure Fan: 04,1
Ninja Vampire,1
Irving and Albert,1
Speckie,1
Speckie 3,1
Crowd of Speckies,1
Mayor's Assistant,1
Voice Off Screen,1
Jeff McGarland,1
Kid 3,1
Voice over,1
The Platypus's Girlfriend,1
Nerdcrow,1
Beastbog,1
Nerdcrow and Jeremy-Tree,1
"Nerdcrow (Baljeet), Jeremy-Tree",1
Creepy Tree,1
Stacy-Owl,1
"Candace, Jeremy-Tree, Nerdcrow (Baljeet)",1
Spider-Monkey,1
"""Dorothy""",1
"The Good-Witch, Isabella",1
Bear,1
Doofenshmirtz Doll,1
Passerby,1
Sally's Father,1
Fan-girl,1
Announcer on TV,1
Office Guy,1
Glasses Seller,1
Assistant to the Mayor,1
Space Adventure Fan 03,1
Steve 3,1
Space Adventure Fan 02,1
Steve 4,1
Steve 5,1
All Steves,1
Steve 6,1
Dimitri Popaunicolas,1
Linda and the dentist,1
Building Superintendent,1
"Crossing Guard, Building Super",1
Unknown blonde Fireside Girl,1
"""They""",1
Lucha Wrestler,1
Secret Service Man,1
Chauffeur,1
Second man,1
Lemonade-Making Machine,1
Wahanies,1
"Candace, Lawrence, Linda, Ferb, and Phineas",1
Airplane Captain,1
Isabella/Fireside Girls,1
Baby Buford,1
Random man,1
Chaka Khan,1
Bāchan Hirano,1
Cousin,1
Mime,1
Phineas (regular),1
Phineas (Disney+),1
Finkie,1
Space Adventure Fan 01,1
Joe #1,1
Future Janitor,1
Man on Train,1
Love On the Run Driver,1
Charlene (cont.),1
Hyena,1
A Ba-dink-a-dink,1
Dimitri/Pedro/Ginger,1
Grandma Betty Jo #2,1
News Reporter,1
Wax Robots,1
Timecard,1
Stacy/Jenny,1
Candace/Officer,1
Monster #2,1
Monster #2s,1
Ginger/Katie,1
Bobbi's Hand,1
Tree house,1
Jaret Reddick,1
Stacy: Right,1
Male narrator,1
Cheerful male voice,1
Giant Robot Man,1
Actor,1
Candace: MOOOOOOOOOOOM!!,1
Bird/Worm,1
Spider,1
Flies,1
Phineas (in Candace's mind),1
Boys,1
Commercial,1
Boy dressed as a robot,1
Young Buford,1
Vanessa (cont.),1
"The Bettys, Stacy",1
Candace and  Stacy,1
Phone announcer,1
Third kid,1
Male Radio DJ,1
Mall Operator,1
TV Narrator,1
Race Car Driver,1
Racers,1
Olga,1
Chicago Joe,1
Ashley Tisdale,1
Eerie Sinister Voice,1
Old people,1
Boy #1,1
(current),1
Gorilla,1
Doofenshmirtz (cont'd.),1
Voice-Over,1
Supermodel Candace,1
Women,1
Doofenshmirtz #3,1
Doofenshmirtz #4,1
Doofenshmirtz #5,1
Doofenshmirtz #6,1
Doofenshmirtz #7,1
Doofenshmirtz 8,1
Doofenshmirtz #8,1
Ranch Man,1
Female computer voice,1
Cow #2,1
Candace (earlier),1
Bully,1
Flashback Buford,1
Fletcher,1
Candace: PHINEAS!!,1
"Ferb, Martian",1
Giant Martian,1
Candace and Jeremy,1
Little Girl,1
Lawrence and Phineas,1
Poodle,1
Hamster,1
Doberman,1
Band members,1
Boss,1
Crowd/Woman,1
Singer #1,1
TV Host,1
Cotillion Crowner,1
Phineas/Ferb/Isabella,1
Doofensmirtz,1
TV announcer,1
Partygoer,1
Guy 2,1
Guy 3,1
Ad Man,1
Guy with Huge Mole on His Head,1
Doofenshmirtz:,1
Baljeet and Buford,1
Isabella and Phineas,1
Young Baljeet,1
Usher,1
Nanny-inator,1
Film Speaker,1
Baljeet of the future,1
