Name,Dialog,Category
Buford,"Well, you're the only one here to talk to. Except for Volley-Baljeet. ""I do not use contractions."" Buford so hungry.",Food 
Buford,"Brain teasers, huh? Alright you do all the ones that rely on brains, and I'll do all the ones that rely on teasin'.",?
Buford,Look at what Baljeet did to my candy bar. He got his peanut butter on my chocolate. Look at this mess! Look at it!,Food 
Buford,"There they are. I thought we'd never catch up. Goin' old school this year, I see. Sweet. No costume, huh, Candace?",?
Buford,"Hey, everybody, what say we put aside our differences long enough to enjoy this unexpected, comically large wheel?",?
Buford,"First, let's get one thing straight: I'm not crying. I'm just sweating through my eyes. And second...I lost Biff!",Philosophy 
Buford,"That was cool! I didn't have to do anything! The outfit did all the work! Whoa Phineas, which way are you facing?",P and F 
Buford,"Hold your words, outlander! Once Odaf Underhump has made a hasty and ill-informed decision, he cannot be swayed.",?
Buford,"What does it look like? I'm running away, hoping that while the monster is busy eating my friends, I can escape.",?
Buford,I'm workin' my way through everyone in Danville. It's a callin'. Here ya go. I gotta buncha Candaces right here.,?
Buford,"No, no, no, no, no! Ya gotta have pranks! Prank calls, Prank Sinatra, prank hand in warm water, stuff like that.",?
Buford,"Oh, look at the little guys, they're like little bullies! I am both proud and ready to soil my pants in terror.",?
Buford,"Hey, I got the legs for it. Ah, New Mexico. My great grandfather once saw something mysterious in New Mexico...",Relationships 
Buford,"I wuz just thinkin', wouldn't it be cathartic ta pound a buncha carnivorous plants inta submission with a book?",?
Buford,"I know what we're gonna do today! We're gonna build a stick-throwing target practice arena! Hey, where's Perry?",?
Buford,"Of all the clearings, in all the woods, in all the world, she had to walk into mine. Tell me she was deported!",? 
Buford,"You know, this smoothie isn't really unusual or exotic. It's about as exotic as a stay-cation with Aunt Meryl!",Food 
Buford,"Fine, for the record though, it's the ""Be Prepared for Every Eventuality"" song. It's in the imperative tense.",? 
Buford,"Oh, Ferb says I should tell you we're about to start washing the house, and you can help us out if you want!",P and F 
Buford,The forest is crawlin' with patch-crazed Europeans and I'm a bear in the woods. What do you think I'm doing?,Philosophy 
Buford,"No! No, you should not! I used my now vastly superior intellect to build the world's largest wedgie machine!",?
Buford,"Wait a second. I coulda eaten the coconut! Eh, too much work. Sorry, stomach. Turns out I'm a poor provider.",Food 
Buford,"If that parade makes it to the end, my hopes for the Adjacent Area secession are through. I gotta stop it.",?
Buford,"Huh, that's Swiss-picious! Well, I did it! A hundred cheese puns! Oh, and look, there's Perry! And, scene.",Food 
Buford,"You're lucky the gross factor outweighs the science factor, or you'd have a one-way ticket to wedgie town!",Science 
Buford,"Took a few tries there! If I were thinking, I woulda just pressed this ""fly"" button. Oh, that kind of fly!",?
Buford,"Whoa, that's weird. I could throw balls no problem. Watch dis! Dat can! Dat mosquito! Dat Hadron collider!",Science 
Buford,"Sorry to come back empty-handed, Chowdina. This whole food chain thing is more complicated than I thought.",Relationships 
Buford,"My chiropractor recommended it. It's just as humiliating as a half-nelson, and easier on my tennis elbow.",?
Lion-Tiger-Bear Guy (Buford),"I see you're into spider webs. Sure, they're classic, but overdone. We see you as more of a modern witch.",Science 
Buford,"I got a pail of water, and a nest to make comfortable. I figure I can keep him in my garage 'till spring.",?
Buford,"There are no friends in these halls, Phineas. There are only my people, and those who must be destroyed.",P and F
Buford,"Man, these family reunions with our traditional custom of felling a tree together can get awfully tense.",Relationships 
Buford,"Little Master, Little Master, I finished color-coding all of your overalls. Whadaya want me to do next?",?
Buford,Singular goodness. Why don't you grab your peanut butter and your swimsuit and meet me at the flagpole.,Food
Buford,"I thought they only served subpoenas! Oh, come on! What's a guy gotta do to get a rimshot around here?!",?
Buford,"All right, fine. Let's see. Tuesday, 9:00 am, Phineas and Ferb's backyard. He's late, but it's on here.",P and F 
Buford,No girl has ever beaten Buford. Watch and learn. It takes a highly trained eye and a quick wrist to...,?
Buford,"Uh...wait a minute. I got an idea. Hello, folks! I'm Mr. Sock! Hey! Who turned out the lights? Thanks!",?
Buford,"Oh, yeah, it's the perfect romantic setting out there. It'll be like love kicked 'em both in the face!",Philosophy 
Buford,"Stop! Knock it off! She's a semi-sentient, rubber, livin' thing! And who are we to take her life away?",Science
Buford,"In fact, it was the ancient Tunisians who actually developed many of the techniques still used today.",science
Buford,"Ha, I bet you didn't see a Trojan T-rex with laser cannon mouth, and laser cannon eyes comin'. Didja?",?
Buford,"People would come from miles around to see 'em. Or at least they would have, if he ever finished one.",?
Buford,"Okay, okay! You're strong and cocky and dominatin' like Captain Dirk. Just play the next one. Please?",?
Buford,"Oh! Oh, oh, hah, and funny! Hahahahaha! And funny! Heh. You know, 'cause, 'cause, the funnies! Hehe‚Ä¶",?
Buford,"You're wastin' your time. There's nothin' here but grass. Grass and this...key! Ah. Oh, that's good.",?
Buford,"Yeah, who would've thought that three completely disparate elements would go together so seamlessly?",Science 
Buford,"If you diss aglets one more time, I'll fray your head so bad, it won't fit through your shirt hole!",?
Buford,"You know, my horoscope said I would be riding an ox today. But I thought it was a figure of speech!",?
Buford,"A quilt?! No way! I mean, I know it's been a long summer and you guys are running out of ideas and-",Info dumping 
Buford-2,"So far, I'd rather be breakin' rocks for the state. But, in all fairness, I do love breakin' stuff.",?
Buford,"Well, why don't you ask it, Kierkegaard? What? Existentialist Trading Cards. It came with the gum.",Philosophy 
Buford,Is that a challenge?! Because you should know that we Van Stomms never back down from a challenge.,?
Buford,"Yeah, it's every girl's wish to have her backyard covered in litter. Let's go you two. Next event.",?
Buford,"Okay-okay! How 'bout a super-super duper-duper-duper Rollercoaster? What, too much or not enough?",?
Buford,"I don't get why this stuff is called ""sorbet""? Ain't it just a fancy people word for ""ice cream""?",Food 
Buford,"I've carried a lot of squirmin' bags in my time, but this is the first time I knew who was in it.",?
Buford,"Oh, come on! You're totally green! For example, when you grab somebody's shirt and lift 'em up...",?
Buford,"There's a control doohickey on its head. If we smash it, it should be lights out for the big guy.",?
Buford,To heck with this game! I'm just gonna chill here for a while. Hey!!! Who's pullin' on my rope?!,?
Buford,It's like makin' pancakes. Ya gotta make more than one to get some good ones. Duh. Dat one dere.,Food 
Buford,"Well, I don't believe and therefore it's impossible. And what's more, I'll bet you can't do it!",Philosophy 
Buford,My people have much to learn from your people. You must tell me how to shoot a blaster someday.,?
Buford,"What kind of person hands out these weird, orange peanuts? We gotta find a better neighborhood.",Food 
Buford,"Whoa, dudes, what's with all the junk in your backyard? It's like an obstacle course back here!",?
Buford,"Lemme talk to her, guys. I speak sullen. Candace messed up and now Jeremy's birthday is ruined.",?
Buford,I don't care what Freud said about your selfish need for satisfaction. You're alright with me.,Philosophy 
Buford,I've been burned one too many a time. Maybe it's the universe telling me it's not meant to be.,Philosophy 
Buford,What we're doin' is never gettin' the ending of Stumbleberry Finkbat! That's what we're doin'!,?
Buford,"Help, my nerd is stuck in a tree! Look, it's your favorite calculator and some math problems!",Relationships 
Buford,"Ta-da! I switched my body for a dummy of myself, that Ferb climbed into when you looked away.",P and F 
Buford,"Hey, guys, I just realized somethin'! I'm the only fly in a prison full of frogs and lizards!",Philosophy
Buford,"If by ""catchy"", you mean ""sucks the life outta the room and makes me wanna puke""...then yeah.",?
Buford,Why are we building this thing again? Pretty sure the prevailing wisdom is reading is boring.,Philosophy 
Buford,"I don't know much about the food chain, but I do know that Van Stomms always come out on top.",Food 
Buford,"Here's Ferb's, here's Phineas's, here's Isabella's... And here's, uh... A recumbent? Really?", P and F
Buford,"Here, put these on. They'll help me remember your names while we're workin' on my invention.",Science
Buford,"Uhhh...oh no! If I catch the mug what did this...Yeah I'm on it! Okay, if I just pull on...",?
Buford,I've always told her: Don't ever make Phineas angry. You wouldn't like him when he's angry.,P and F
Buford,"Not a pharmacist in sight. Now's as good a time as any to rush in blindly, don't you think?",?
Buford,"Yeah, like for dinner. Little bit of garlic, a little bit of butter, brains are delicious.",Food 
Buford,"Spread out, you two! Spread out! Right here is where I do my best commenting and quipping.",?
Buford,"""My first memory is waking up, alone and limp, and cold. I was an empty shell, literally.""",Philosophy 
Buford,"It's okay, Chowdina. We're gonna make it through, somehow. This should help with the rain.",?
Buford,"He didn't bribe me. He just caught my attention in a monetary fashion. Now, back in line.",Philosophy 
Buford,"Hey, remember how we did that super Rollercoaster? How 'bout a super duper Rollercoaster?",?
Buford,I found these catering trays from the giant picnic and this parachute from the drag race.,Food
Buford,I'm in! Can we shoot Perry with it and bounce him around the backyard like a plat-a-ball?,?
Buford,"Why do parents buy such weird food? Everything's 'lite', 'low', 'non', 'free', or 'diet'.",Food 
Buford,"I dub thee ""The Buford van Stomm Time Catapult"". I won the naming rights fair and square.",?
Buford,"Yeah, I don't remember imbuing the suit with the gift of life. I think I'd remember that.",?
Buford,"Great. It's boys against girls. And to give ya a fair shot, I'll even take Shrimpy here.",?
Buford,Watch this trick. Voila! One cell phone transformed into miscellaneous electronic parts!,?
Buford,"Woah woah woah! We're just startin'?! No‚Äîno intro, nothin'?! Just gettin' right into it?",?
Buford,"Leave me my simple pleasures. Now Ferb, destroy Troy! This is why I got Ferb on my team.",P and F 
Buford,You guys do chores?! I'd think you'd build a small army of drones to do the work for ya!,?
Buford,"Ugh! Hey, this is butterscotch ripple! Is this your first day on the job or somethin'?!",Food 
Buford,"Little Master, I've washed all your dust jackets and dusted all your cold knick-knacks.",?
Buford-2,"I used to be in the Resistance, but I got so good at it, that I started resisting them.",Philosophy 
Buford,"You created me, Garbage-zilla! And now, puny humans, Prepare to be trashed! Whoa! Whoa!",?
Buford,"Good luck, little guys. I'll think of you whenever I get a rabies shot! Which is often.",?
Buford,"Well, if this thing's the problem, maybe we should press this big self-destruct button.",?
Buford,Let me explain through a brief flashback and not-so-brief monologue about my childhood!,?
Buford,You think your machine can find my long lost teddy bear? I got his picture right here.,?
Buford,"Nope. It'll only make me wanna hurt you, which will counteract my one act of kindness.",Relationships 
Buford,"Nice? Ah, now I gotta go do some'in' to balance out the universe. See ya' on the news.",Philosophy 
Buford,"Hey, if anyone's gonna ride this thing, it's gonna be me. Not one of you lousy extras.",?
Buford,"Yeah, I was walkin' out in the middle of the woods one night with my lucky tambourine.",Info dumping 
Buford,Ice cream fell on you! Now we're both humiliated in public! Whaddya say? Even Steven?,Food 
Buford,"No, it's-- Oh no, it is desertion. Irving get over here. It's time to execute Plan B.",?
Buford,"So, where's Klimpy? Don't tell me he ditched us for one of those swanky afterparties.",?
Buford,Ya didn't think it was weird when I used it to save ya after ya turned into a liquid.,?
Buford,"Knew it! Prime for drawin'! Even better, maybe I can borrow some makeup from Candace!",Info dumping 
Buford,"Yeah, that's toothalloons. And I'll lock it all down, and make sure it doesn't move.",?
Buford,"Oh come on, couldn't a gathering just as easily turn into a shindig or a hootenanny?",Relationships 
Buford,Of course! So I'm puttin' an end to this before it breaks into song! Where's Perry??,?
Buford,Whatever. Have you come around yet to appreciate the rustic beauty of the Wild West?,?
Buford,"Didja try kissin' both of 'em? What? That's what I'd do. Heck, I'll do it right now!",Relationships 
Buford,Are you tellin' Irving about how you're the unsung intellectual giant of the group?!,Philosophy 
Buford,Wow! I never thought the process of growin' a berry that big would be so disgusting!,Science 
Buford,"Isabella, I'm all puppeted out! Let's say we take a little break and get some eats?",?
Buford,"Baljeet and I tried to untangle all these Christmas lights, but it was to no avail.",?
Buford,Oh. Zoom in on the swirly thing. my gut tells me that's where the whalemingos are.,?
Buford,Hey you guys! I can see my thoughts! They're all sparkly and spread out around us.,Philosophy
Buford,"Yeah, we're gonna need a bigger army. Irving, break out my recruitment fustanella.",?
Buford,"Yeah, yeah yeah, you're in. Get a shield. Come back with it, or on it. Next! Name?",?
Buford,Cool! It actually worked! Who's my little platypus clone? What was that all about?,?
Buford,"Hey Baljeet, check this out! It's a kite, but it totally looks like a pirate ship!",?
Buford,I told ya we shoulda made 'em outta bricks! Did those three pigs teach us nothing?,?
Buford,"Physics camp? Yeah, you're better off. Hey, Candace, why did you join the Empire?",Science
Buford,"Come on, you freaks! Fresh meat! Yippee-ki-yay, you pharmacist freaks! Yippee-ki‚Äî",?
Buford,Sorry we're late. We went through the car wash 13 times with my Crazy Uncle Oslo.,?
Lion-Tiger-Bear Guy (Buford),"Hey! What are you doin'? Ow, ow, ow! I can't believe I'm doin' this for nothin'!",?
Buford,Mmmm. I am to metaphor cheese as metaphor cheese is to transitive verb crackers.,philosophy
Buford,Life's not fair. Earlier today I just missed hitting this kid with a basketball.,?
Buford,It's a nerd carrier. I had a heck of a time getting him in. Scratched me all up!,?
Buford,"Well, Hurry up and think of somethin', I'm gettin' tired of hanging around here.",?
Buford,"Gimme that thing! I got an opener that can open anything! ¬°Para usted, se√±orita!",?
Buford,I'm filling in for Isabella while she's visitin' her grandparents in New Mexico.,?
Buford,"Yeah! And when you're hungry, you crack your knuckles! Oh, baby, that's good...",Food 
