Name,Dialog,Topic
Buford,"If by ""catchy"", you mean ""sucks the life outta the room and makes me wanna puke""...then yeah.",Image
Buford,Why are we building this thing again? Pretty sure the prevailing wisdom is reading is boring.,Philosophy
Buford,"I don't know much about the food chain, but I do know that Van Stomms always come out on top. (Cracks knuckles.)",Food
Buford,"Here's Ferb's, here's Phineas's, here's Isabella's... And here's, uh... A recumbent? Really?",Phineas and Ferb
Buford,"Here, put these on. They'll help me remember your names while we're workin' on my invention.",Science / Inventions
Buford,"Uhhh...oh no! If I catch the mug what did this...Yeah I'm on it! (he walks to the control panel) Okay, if I just pull on... (he activates something and a yellow ray shoots out)",Science / Inventions
Buford,I've always told her: Don't ever make Phineas angry. You wouldn't like him when he's angry.,Phineas and Ferb
Buford,"Not a pharmacist in sight. Now's as good a time as any to rush in blindly, don't you think?",Philosophy
Buford,"Yeah, like for dinner. Little bit of garlic, a little bit of butter, brains are delicious.",Food
Buford,"Spread out, you two! Spread out! Right here is where I do my best commenting and quipping.",Image
Buford,"(translating, voiceover) ""My first memory is waking up, alone and limp, and cold. I was an empty shell, literally.""",Philosophy
Buford,"It's okay, Chowdina. We're gonna make it through, somehow. This should help with the rain.",Relationships
Buford,"He didn't bribe me. He just caught my attention in a monetary fashion. Now, back in line.",Philosophy
Buford,"Hey, remember how we did that super Rollercoaster? How 'bout a super duper Rollercoaster?",Phineas and Ferb
Buford,I found these catering trays from the giant picnic and this parachute from the drag race.,Food
Buford,I'm in! Can we shoot Perry with it and bounce him around the backyard like a plat-a-ball?,Science / Inventions
Buford,"(looking in the fridge) Why do parents buy such weird food? Everything's 'lite', 'low', 'non', 'free', or 'diet'.",Food
Buford,"Leave me my simple pleasures. Now Ferb, destroy Troy! This is why I got Ferb on my team.",Phineas and Ferb
Buford,You guys do chores?! I'd think you'd build a small army of drones to do the work for ya!,Phineas and Ferb
Buford,"Ugh! Hey, this is butterscotch ripple! (A small door slides up on the truck with a lit arrow. Perry spits out his fedora, puts it on and zips into it.) Is this your first day on the job or somethin'?! (The truck speeds out.)",Food
Buford,"Little Master, I've washed all your dust jackets and dusted all your cold knick-knacks.",Relationships
Buford-2,"I used to be in the Resistance, but I got so good at it, that I started resisting them.",Philosophy
Buford,"Nope. It'll only make me wanna hurt you, which will counteract my one act of kindness.",Relationships
Buford,"Nice? Ah, now I gotta go do some'in' to balance out the universe. See ya' on the news. (He walks off)",Philosophy
Buford,"Hey, if anyone's gonna ride this thing, it's gonna be me. Not one of you lousy extras.",Image
Buford,"Yeah, I was walkin' out in the middle of the woods one night with my lucky tambourine.",Infodumping
Buford,(Laughs) Ice cream fell on you! (Laughs) Now we're both humiliated in public! (holds out his hand) Whaddya say? Even Steven?,Food
Buford,"So, where's Klimpy? Don't tell me he ditched us for one of those swanky afterparties.",Relationships
Buford,Ya didn't think it was weird when I used it to save ya after ya turned into a liquid.,Science / Inventions
Buford,"Knew it! Prime for drawin'! (gasps) Even better, maybe I can borrow some makeup from Candace!",Image
Buford,"Yeah, that's toothalloons. And I'll lock it all down, and make sure it doesn't move.",Phineas and Ferb
Buford,"Oh come on, couldn't a gathering just as easily turn into a shindig or a hootenanny?",Relationships
Buford,Of course! So I'm puttin' an end to this before it breaks into song! Where's Perry??,Image
Buford,Whatever. (to Baljeet) Have you come around yet to appreciate the rustic beauty of the Wild West?,Infodumping
Buford,"Didja try kissin' both of 'em? What? That's what I'd do. Heck, I'll do it right now!",Relationships
Buford,Are you tellin' Irving about how you're the unsung intellectual giant of the group?!,Philosophy
Buford,Wow! I never thought the process of growin' a berry that big would be so disgusting!,Science / Inventions
Buford,"Isabella, I'm all puppeted out! Let's say we take a little break and get some eats?",Food
Buford,"Baljeet and I tried to untangle all these Christmas lights, but it was to no avail.",Relationships
Buford,Oh. Zoom in on the swirly thing. my gut tells me that's where the whalemingos are.,Science / Inventions
Buford,Hey you guys! I can see my thoughts! They're all sparkly and spread out around us.,Philosophy
Buford,"Yeah, we're gonna need a bigger army. Irving, break out my recruitment fustanella.",Image
